Time,Total Memory,Free Memory,Current JVM Threads,Max JVM Threads,Total Sessions,Max Sessions,Session Average Time,Running Service Threads,Max Running Service Threads,Request Average Time,New Requests,Completed Requests
2022-10-28 18:56:09 CEST,268435456,37082104,124,124,0,0,0,0,0,0,0,0
2022-10-28 18:57:09 CEST,279969792,7890264,145,145,0,0,0,0,0,0,0,0
2022-10-28 18:58:09 CEST,298844160,22252512,175,175,0,0,0,0,0,0,0,0
2022-10-28 18:59:09 CEST,314572800,27537784,196,196,1,2,30,0,0,0,0,0
2022-10-28 19:00:09 CEST,314572800,23330824,195,196,1,2,0,0,0,0,0,0
2022-10-28 19:01:09 CEST,314572800,22420888,197,197,1,2,0,0,0,0,0,0
2022-10-28 19:02:09 CEST,320864256,19711536,240,240,4,5,2256,0,0,0,0,0
2022-10-28 19:03:10 CEST,320864256,19107856,247,247,4,5,0,0,0,0,0,0
2022-10-28 19:04:10 CEST,320864256,28132064,248,248,4,5,1,0,0,0,0,0
2022-10-28 19:05:10 CEST,320864256,20727288,259,259,4,5,0,0,0,0,0,0
2022-10-28 19:06:10 CEST,320864256,27617896,258,259,4,5,0,0,0,0,0,0
2022-10-28 19:07:10 CEST,320864256,23911128,257,259,4,5,0,0,0,0,0,0
2022-10-28 19:08:10 CEST,320864256,26038608,256,259,4,5,0,0,0,0,0,0
2022-10-28 19:09:10 CEST,320864256,26877152,255,259,4,5,1,0,0,0,0,0
2022-10-28 19:10:10 CEST,320864256,20431856,259,259,4,5,0,0,0,0,0,0
2022-10-28 19:11:10 CEST,320864256,26183240,258,259,4,5,0,0,0,0,0,0
2022-10-28 19:12:10 CEST,320864256,36601344,257,259,4,5,0,0,0,0,0,0
2022-10-28 19:13:10 CEST,320864256,33939080,256,259,1,5,757682,0,0,0,0,0
2022-10-28 19:14:10 CEST,320864256,27918336,255,259,1,5,0,0,0,0,0,0
2022-10-28 19:15:10 CEST,320864256,38559232,254,259,1,5,0,0,0,0,0,0
2022-10-28 19:16:10 CEST,320864256,38364144,253,259,1,5,0,0,0,0,0,0
2022-10-28 19:17:10 CEST,320864256,31627552,252,259,1,5,0,0,0,0,0,0
2022-10-28 19:18:10 CEST,320864256,28918232,251,259,1,5,0,0,0,0,0,0
2022-10-28 19:19:10 CEST,320864256,39832656,250,259,8,13,25,0,0,0,0,0
2022-10-28 19:20:10 CEST,320864256,30350528,249,259,8,13,0,0,0,0,0,0
2022-10-28 19:21:10 CEST,320864256,36916872,248,259,8,13,0,0,0,0,0,0
2022-10-28 19:22:10 CEST,320864256,41185664,248,259,9,13,0,0,0,0,0,0
2022-10-28 19:23:10 CEST,320864256,29641616,246,259,8,13,22492,0,0,0,0,0
2022-11-03 17:43:10 CET,278921216,52480152,118,118,0,0,0,0,0,0,0,0
2022-11-03 17:44:10 CET,278921216,54667024,122,122,0,0,0,0,0,0,0,0
2022-11-03 17:45:10 CET,278921216,36746024,122,122,0,0,0,0,0,0,0,0
2022-11-03 17:46:10 CET,278921216,44506152,122,122,0,0,0,0,0,0,0,0
2022-11-03 17:47:10 CET,278921216,52870336,122,122,0,0,0,0,0,0,0,0
2022-11-03 17:48:10 CET,278921216,45086592,122,122,0,0,0,0,0,0,0,0
2022-11-03 17:49:11 CET,286261248,29324488,166,166,0,0,0,0,0,0,0,0
2022-11-03 17:51:34 CET,278921216,52599624,121,121,0,0,0,0,0,0,0,0
2022-11-03 17:52:34 CET,300941312,30117368,185,185,0,0,0,0,0,0,0,0
2022-11-03 17:53:34 CET,315621376,28179552,233,233,5,5,284,0,0,0,0,0
2022-11-03 17:54:34 CET,315621376,35170664,232,233,5,6,83,0,0,0,0,0
2022-11-03 17:55:34 CET,315621376,31116640,231,233,5,6,0,0,0,0,0,0
2022-11-03 17:56:34 CET,315621376,20911944,234,234,5,6,0,0,0,0,0,0
2022-11-03 17:57:34 CET,315621376,27250472,233,234,11,15,14,0,0,0,0,0
2022-11-03 17:58:34 CET,315621376,21947248,232,234,11,15,0,0,0,0,0,0
